"Date","Price","Volume","Market_cap"
"2023-10-24 00:00:00 UTC+0","225.06427684","360389784.831896","34627523136.93848000"
"2023-10-23 00:00:00 UTC+0","228.44508348","300538869.763999","35147681029.91069000"
"2023-10-22 00:00:00 UTC+0","217.77626967","195034334.594876","33506218413.47674600"
"2023-10-21 00:00:00 UTC+0","214.29003264","188604806.337845","32969839405.17519000"
"2023-10-20 00:00:00 UTC+0","212.13320291","240346360.633189","32637997886.25611000"
"2023-10-19 00:00:00 UTC+0","211.27807206","194614569.754080","32506430746.32768000"
"2023-10-18 00:00:00 UTC+0","210.37503732","180057401.409233","32367493297.80373000"
"2023-10-17 00:00:00 UTC+0","211.70747898","249112977.893761","32572497641.34107000"
"2023-10-16 00:00:00 UTC+0","214.77377483","471906825.820123","33044266116.32701500"
"2023-10-15 00:00:00 UTC+0","209.73357650","220573635.874424","32268800606.04948000"
"2023-10-14 00:00:00 UTC+0","206.61136343","106736682.580078","31788428923.76150500"
"2023-10-13 00:00:00 UTC+0","206.02644982","224849954.842846","31698436368.06249200"
"2023-10-12 00:00:00 UTC+0","205.18949764","209370628.834553","31569666127.89747200"
"2023-10-11 00:00:00 UTC+0","206.44910246","260217108.319635","31763464074.71920800"
"2023-10-10 00:00:00 UTC+0","208.62758565","362509039.719527","32098637111.17272600"
"2023-10-09 00:00:00 UTC+0","205.69729366","317764896.450424","31647793668.37699500"
"2023-10-08 00:00:00 UTC+0","211.38408611","170516568.883043","32522741659.94343000"
"2023-10-07 00:00:00 UTC+0","212.42200184","105668615.872496","32682431378.20607800"
"2023-10-06 00:00:00 UTC+0","213.62292745","172901659.179487","32867201169.25940700"
"2023-10-05 00:00:00 UTC+0","210.63789931","208430727.683722","32407936231.23243700"
"2023-10-04 00:00:00 UTC+0","213.32687485","245537180.758211","32821651655.81891300"
"2023-10-03 00:00:00 UTC+0","213.34805704","185215174.664484","32824910666.48418800"
"2023-10-02 00:00:00 UTC+0","214.59463841","341740223.486652","33016704876.47837000"
"2023-10-01 00:00:00 UTC+0","217.99507031","247508092.406727","33539882236.66329600"
"2023-09-30 00:00:00 UTC+0","214.67220658","139111598.282024","33028639216.68106000"
"2023-09-29 00:00:00 UTC+0","215.23159464","226452675.609966","33114704509.05569500"
"2023-09-28 00:00:00 UTC+0","214.92025894","224236315.058969","33066803596.82861000"
"2023-09-27 00:00:00 UTC+0","211.83092589","236640886.892970","32591490707.94840200"
"2023-09-26 00:00:00 UTC+0","212.48540490","193675191.429383","32692186328.43007300"
"2023-09-25 00:00:00 UTC+0","209.83769782","212461265.452204","32284820310.74136400"
"2023-09-24 00:00:00 UTC+0","208.28030009","137509720.992227","32045205092.98779700"
"2023-09-23 00:00:00 UTC+0","210.67612749","104159563.078335","32413817871.91826200"
"2023-09-22 00:00:00 UTC+0","211.27251007","183092622.514894","32505574999.66964700"
"2023-09-21 00:00:00 UTC+0","210.88403080","284851489.284506","32445805075.23378000"
"2023-09-20 00:00:00 UTC+0","214.35423324","241503805.612153","32979717062.08451500"
"2023-09-19 00:00:00 UTC+0","217.27337303","244633484.955705","33428844671.35878000"
"2023-09-18 00:00:00 UTC+0","216.00395501","343510201.116300","33233536903.24533000"
"2023-09-17 00:00:00 UTC+0","216.42791060","222275289.344701","33298765077.58194000"
"2023-09-16 00:00:00 UTC+0","214.89418317","212644812.862062","33062791680.06476200"
"2023-09-15 00:00:00 UTC+0","214.12292315","216330417.979737","32944128582.37969600"
"2023-09-14 00:00:00 UTC+0","212.19536009","228204867.148345","32647561151.57614500"
"2023-09-13 00:00:00 UTC+0","212.60185795","207447501.381246","32710103347.14305500"
"2023-09-12 00:00:00 UTC+0","210.42439926","314201783.864004","32375087936.25796500"
"2023-09-11 00:00:00 UTC+0","206.18351829","340339258.919521","31722602317.51664400"
"2023-09-10 00:00:00 UTC+0","212.34074723","194585168.268778","32669929857.09869000"
"2023-09-09 00:00:00 UTC+0","214.25043063","99355947.336858","32963746392.17532700"
"2023-09-08 00:00:00 UTC+0","214.63050196","182972281.830911","33022222704.45559000"
"2023-09-07 00:00:00 UTC+0","217.04502027","203216150.616983","33393711195.43791200"
"2023-09-06 00:00:00 UTC+0","215.04058703","194654681.396988","33085316814.48029300"
"2023-09-05 00:00:00 UTC+0","214.44615674","187509541.765056","32993860058.09503600"
"2023-09-04 00:00:00 UTC+0","215.03181891","239219288.175810","33083967785.50501300"
"2023-09-03 00:00:00 UTC+0","214.37598710","137500986.050519","32983064027.15872600"
"2023-09-02 00:00:00 UTC+0","214.58391301","187456013.705650","33015054707.81224000"
"2023-09-01 00:00:00 UTC+0","213.68450814","313612079.535930","32876675736.81316800"
"2023-08-31 00:00:00 UTC+0","216.50629789","263015889.224110","33310825444.33812700"
"2023-08-30 00:00:00 UTC+0","223.60716322","207928035.438528","34403337245.69842500"
"2023-08-29 00:00:00 UTC+0","226.98731594","412509864.639196","34923394529.49979000"
"2023-08-28 00:00:00 UTC+0","218.50362692","226452575.505084","33618126798.66416000"
"2023-08-27 00:00:00 UTC+0","218.19932621","152751275.366353","33571308263.61507800"
"2023-08-26 00:00:00 UTC+0","216.41883671","143242351.489629","33297369003.27206800"
"2023-08-25 00:00:00 UTC+0","218.31074741","263813652.884164","33588451100.85790300"
"2023-08-24 00:00:00 UTC+0","218.79159453","284151244.804006","33662432386.77220500"
"2023-08-23 00:00:00 UTC+0","216.43027387","454343083.215385","33299128681.03542700"
"2023-08-22 00:00:00 UTC+0","210.80295029","556672324.557216","32433330340.22654300"
"2023-08-21 00:00:00 UTC+0","210.15410976","517262950.878790","32333502233.92803200"
"2023-08-20 00:00:00 UTC+0","216.59098297","176648470.027523","33323854764.49844000"
"2023-08-19 00:00:00 UTC+0","217.03197004","263272922.238260","33391703337.73020000"
"2023-08-18 00:00:00 UTC+0","216.12086542","447637977.281149","33251524288.82303200"
"2023-08-17 00:00:00 UTC+0","218.43534817","681759842.681739","33607621693.55514000"
"2023-08-16 00:00:00 UTC+0","231.78898945","354337718.064044","35662161528.78837600"
"2023-08-15 00:00:00 UTC+0","236.45519321","347958337.296491","36380085675.17660500"
"2023-08-14 00:00:00 UTC+0","240.07672644","221184654.787401","36937280835.13689000"
"2023-08-13 00:00:00 UTC+0","239.92391968","182147991.681792","37393389527.25614000"
