"Date","Price","Volume","Market_cap"
"2023-10-24 00:00:00 UTC+0","33899.06279130","23144777708.965527","661813708010.81250000"
"2023-10-23 00:00:00 UTC+0","33080.55818304","20051690406.417606","645808150969.48320000"
"2023-10-22 00:00:00 UTC+0","29989.39006306","7890008703.632469","585431310439.64140000"
"2023-10-21 00:00:00 UTC+0","29924.77147706","9301248772.667470","584141444331.63000000"
"2023-10-20 00:00:00 UTC+0","29685.08342989","17332917900.131916","579434067578.76310000"
"2023-10-19 00:00:00 UTC+0","28718.57691291","11878634187.552220","560545869679.37720000"
"2023-10-18 00:00:00 UTC+0","28329.11077177","10165340401.629284","552918717031.80320000"
"2023-10-17 00:00:00 UTC+0","28417.61450739","12070525211.668045","554620188377.40980000"
"2023-10-16 00:00:00 UTC+0","28514.02090830","22104593059.242040","556472845709.31500000"
"2023-10-15 00:00:00 UTC+0","27157.45548732","5762262338.569337","529975028089.44696000"
"2023-10-14 00:00:00 UTC+0","26865.05282500","4703129986.157053","524240261823.35895000"
"2023-10-13 00:00:00 UTC+0","26863.15626338","13365757581.436949","524178914609.48380000"
"2023-10-12 00:00:00 UTC+0","26748.66522691","8088478690.948541","521921293340.74480000"
"2023-10-11 00:00:00 UTC+0","26873.15938099","11682705268.505430","524323206989.46120000"
"2023-10-10 00:00:00 UTC+0","27393.98200091","8562310898.456793","534457602415.06366000"
"2023-10-09 00:00:00 UTC+0","27580.16904213","9999765459.648098","538062207347.13270000"
"2023-10-08 00:00:00 UTC+0","27932.45290883","6446313235.299469","544907687968.13477000"
"2023-10-07 00:00:00 UTC+0","27981.30840092","5352537112.582554","545834684771.06970000"
"2023-10-06 00:00:00 UTC+0","27962.49470549","11046181335.316040","545438155400.05084000"
"2023-10-05 00:00:00 UTC+0","27417.96153662","9307928313.802025","534788710669.93744000"
"2023-10-04 00:00:00 UTC+0","27791.32100041","8933866255.326134","542046788273.18970000"
"2023-10-03 00:00:00 UTC+0","27424.02525473","8832045950.090912","534860006439.58510000"
"2023-10-02 00:00:00 UTC+0","27526.54837760","16420870085.667439","536831169583.72644000"
"2023-10-01 00:00:00 UTC+0","27973.84330718","7400100318.473005","545527709178.53000000"
"2023-09-30 00:00:00 UTC+0","26969.88050862","4315355522.686077","525925480611.36610000"
"2023-09-29 00:00:00 UTC+0","26913.91081369","8173278138.523209","524810306905.31690000"
"2023-09-28 00:00:00 UTC+0","27020.49621148","12014422029.551260","526864549478.78120000"
"2023-09-27 00:00:00 UTC+0","26348.86405307","10032639151.951225","513744697091.80660000"
"2023-09-26 00:00:00 UTC+0","26212.31430655","7272354451.283260","511056249572.01855000"
"2023-09-25 00:00:00 UTC+0","26292.47921018","8877284689.452353","512596360500.63610000"
"2023-09-24 00:00:00 UTC+0","26261.20264135","5885214870.767413","511963458553.23376000"
