"Date","Price","Volume","Market_cap"
"2023-10-24 00:00:00 UTC+0","1783.95494398","9166763421.544846","214548259051.71884000"
"2023-10-23 00:00:00 UTC+0","1765.53172111","8626850991.287153","212336545515.09647000"
"2023-10-22 00:00:00 UTC+0","1663.09815445","4927396570.743317","200016157097.60028000"
"2023-10-21 00:00:00 UTC+0","1629.37569120","3997785564.707872","195958218190.43152000"
"2023-10-20 00:00:00 UTC+0","1604.86097834","6344459370.688828","193008561173.74850000"
"2023-10-19 00:00:00 UTC+0","1567.27073360","4707075337.780928","188485596110.74216000"
"2023-10-18 00:00:00 UTC+0","1563.82634821","4129837423.970477","188069297210.81403000"
"2023-10-17 00:00:00 UTC+0","1565.63261116","4121044617.270796","188284412479.99650000"
"2023-10-16 00:00:00 UTC+0","1600.32293875","8474692191.300982","192454452503.50674000"
"2023-10-15 00:00:00 UTC+0","1557.68368683","2528164753.967568","187324135881.59174000"
"2023-10-14 00:00:00 UTC+0","1555.75177110","2123755770.396926","187089061730.25323000"
"2023-10-13 00:00:00 UTC+0","1552.25962252","4237643947.334309","186666875193.70490000"
"2023-10-12 00:00:00 UTC+0","1539.26995430","4529745832.257076","185102710966.57407000"
"2023-10-11 00:00:00 UTC+0","1566.35024378","4890918394.472906","188356864737.04526000"
"2023-10-10 00:00:00 UTC+0","1567.82478972","4757796504.996257","188531793222.74840000"
"2023-10-09 00:00:00 UTC+0","1579.42055294","6028571496.291799","189924063251.65033000"
"2023-10-08 00:00:00 UTC+0","1633.46342324","2836127788.586682","196419926936.88226000"
"2023-10-07 00:00:00 UTC+0","1635.14425730","2059650457.790768","196619307044.47940000"
"2023-10-06 00:00:00 UTC+0","1646.73550312","4344461333.092196","198010787410.05023000"
"2023-10-05 00:00:00 UTC+0","1611.94997945","4652545741.889749","193825804321.91275000"
"2023-10-04 00:00:00 UTC+0","1647.37747697","4316311578.750614","198083710049.80260000"
"2023-10-03 00:00:00 UTC+0","1656.66931411","4082841902.643970","199199126827.78714000"
"2023-10-02 00:00:00 UTC+0","1663.23010693","7114311274.974134","199986967041.74216000"
"2023-10-01 00:00:00 UTC+0","1733.10782990","4554606348.187623","208386523785.09134000"
"2023-09-30 00:00:00 UTC+0","1671.19841200","2605522791.038957","200940382543.47775000"
"2023-09-29 00:00:00 UTC+0","1667.99536191","4703726428.118625","200553142218.07156000"
"2023-09-28 00:00:00 UTC+0","1652.79638567","5737597372.133042","198723869319.53970000"
"2023-09-27 00:00:00 UTC+0","1597.13427346","4514881083.173714","192029630680.80804000"
"2023-09-26 00:00:00 UTC+0","1593.45351459","2641377883.188360","191584686744.94420000"
"2023-09-25 00:00:00 UTC+0","1587.94162564","3379736540.005740","190920156088.03350000"
"2023-09-24 00:00:00 UTC+0","1581.08205003","2478743499.775925","190093500634.17047000"
"2023-09-23 00:00:00 UTC+0","1594.92269254","1537936742.897852","191755796198.98468000"
"2023-09-22 00:00:00 UTC+0","1594.09326121","2659771456.429739","191654796622.05392000"
"2023-09-21 00:00:00 UTC+0","1584.35775483","4068122984.313024","190483838993.77353000"
"2023-09-20 00:00:00 UTC+0","1623.05074302","4094708527.539533","195134700243.13530000"
"2023-09-19 00:00:00 UTC+0","1643.57624271","3352268498.836446","197600949714.55127000"
"2023-09-18 00:00:00 UTC+0","1636.89228018","4604998343.335894","196796076939.32162000"
"2023-09-17 00:00:00 UTC+0","1622.92984924","2117788078.017434","195115778277.68335000"
"2023-09-16 00:00:00 UTC+0","1635.09449367","2047257718.778291","196576506383.95834000"
"2023-09-15 00:00:00 UTC+0","1641.41677006","3209352928.867358","197335777561.73360000"
"2023-09-14 00:00:00 UTC+0","1627.24358343","4281354126.090758","195631420168.62410000"
"2023-09-13 00:00:00 UTC+0","1608.08520845","3951483195.148551","193327699220.16782000"
"2023-09-12 00:00:00 UTC+0","1592.61409159","5547271791.389977","191466820137.00385000"
"2023-09-11 00:00:00 UTC+0","1551.64593099","6361522758.531813","186541651085.60550000"
"2023-09-10 00:00:00 UTC+0","1617.13776134","3543277288.504182","194413227108.40830000"
"2023-09-09 00:00:00 UTC+0","1635.73378677","1427933207.641218","196647089482.54828000"
"2023-09-08 00:00:00 UTC+0","1636.60528306","3714105794.801357","196750956924.15200000"
"2023-09-07 00:00:00 UTC+0","1647.16436812","3970982662.106497","198019964858.86603000"
"2023-09-06 00:00:00 UTC+0","1632.49198352","4097023949.095802","196255793203.11080000"
"2023-09-05 00:00:00 UTC+0","1633.55508716","3646433900.787427","196383042011.83860000"
"2023-09-04 00:00:00 UTC+0","1629.34484478","3215944005.376332","195876083608.35117000"
"2023-09-03 00:00:00 UTC+0","1636.12748548","2468496424.057088","196689907170.04575000"
"2023-09-02 00:00:00 UTC+0","1637.44714268","2263473839.677015","196847071427.78592000"
"2023-09-01 00:00:00 UTC+0","1629.01313292","5032595766.944824","195832674652.42096000"
"2023-08-31 00:00:00 UTC+0","1644.95122576","5580057368.903954","197748965033.12344000"
"2023-08-30 00:00:00 UTC+0","1704.71325692","4064616932.145798","204933776040.52774000"
"2023-08-29 00:00:00 UTC+0","1729.02910094","10121935914.761164","207858966233.85750000"
"2023-08-28 00:00:00 UTC+0","1652.01049531","3990405833.525477","198601017854.65628000"
"2023-08-27 00:00:00 UTC+0","1657.15198543","1926463375.349135","199217763584.86362000"
"2023-08-26 00:00:00 UTC+0","1646.55220422","1747157703.678017","197942205288.98703000"
"2023-08-25 00:00:00 UTC+0","1653.02522478","4448508967.191651","198720814852.94696000"
"2023-08-24 00:00:00 UTC+0","1660.14297151","4058700419.192718","199572695567.60358000"
"2023-08-23 00:00:00 UTC+0","1679.55963003","6206742047.439527","201907107439.22388000"
"2023-08-22 00:00:00 UTC+0","1633.55668519","6257516249.300376","196371593325.24567000"
"2023-08-21 00:00:00 UTC+0","1667.10175179","4201861529.551159","200410888357.22565000"
"2023-08-20 00:00:00 UTC+0","1684.77931774","3418971712.193688","202530012380.97537000"
"2023-08-19 00:00:00 UTC+0","1670.71126185","4031629062.420577","200838347649.83954000"
"2023-08-18 00:00:00 UTC+0","1661.86387423","8288289189.308670","199513185862.70337000"
"2023-08-17 00:00:00 UTC+0","1685.50895025","13080045757.073729","202490057705.81820000"
"2023-08-16 00:00:00 UTC+0","1805.81323025","4303508992.343240","216948799670.75412000"
"2023-08-15 00:00:00 UTC+0","1826.35271743","3884206724.752566","219422074704.44600000"
"2023-08-14 00:00:00 UTC+0","1843.15841684","3387794299.387354","221445095258.32086000"
"2023-08-13 00:00:00 UTC+0","1839.34498433","2434907428.016854","220989516437.72375000"
"2023-08-12 00:00:00 UTC+0","1849.44130244","1914744404.993902","222205313853.73495000"
"2023-08-11 00:00:00 UTC+0","1847.41677897","2923601968.655074","221966550312.96594000"
"2023-08-10 00:00:00 UTC+0","1850.29452616","3264037138.199098","222317450736.48465000"
"2023-08-09 00:00:00 UTC+0","1853.96404278","4351625148.861812","222765399679.73096000"
"2023-08-08 00:00:00 UTC+0","1855.22545919","5119543109.360746","222922478014.39142000"
"2023-08-07 00:00:00 UTC+0","1826.22248920","5045853325.298672","219441854830.94190000"
"2023-08-06 00:00:00 UTC+0","1828.17792932","2512010146.012723","219679498289.62277000"
"2023-08-05 00:00:00 UTC+0","1836.01106215","2545847987.031635","220625808388.45462000"
"2023-08-04 00:00:00 UTC+0","1828.75447750","4358040155.504450","219758009963.21243000"
"2023-08-03 00:00:00 UTC+0","1834.71883237","4176220971.802646","220479938282.95620000"
"2023-08-02 00:00:00 UTC+0","1837.79764075","5305357090.112354","222947537931.71730000"
"2023-08-01 00:00:00 UTC+0","1870.02977308","6466063776.298911","226542165718.77472000"
"2023-07-31 00:00:00 UTC+0","1856.12122189","3440878079.999329","223065855817.42300000"
"2023-07-30 00:00:00 UTC+0","1861.06937229","3119872973.041557","225209441942.91660000"
"2023-07-29 00:00:00 UTC+0","1881.64431722","1837634943.156560","227541306432.38596000"
"2023-07-28 00:00:00 UTC+0","1873.98971738","2987913632.369586","226426820129.73636000"
