"HolderAddress","Balance","PendingBalanceUpdate"
"0xf7501703e84351b702b420773cc91b9a25684654","99,834,000","No"
"0xd1cee1efdc9e8010a904f489dcff2c9e908f88a6","31,500,000","No"
"0x766fa90a1139a1cf60d274f9b4566ef25cc9a0d0","18,414,600","No"
"0x2b25d80a3f7d70b1a45c06af75e3ab236b2108bf","9,769,000","No"
"0xd2e5426452859acc6270959eeabc8c1d9ca55123","7,520,500","No"
"0x59ec1b1131eef0c46d4ce986a6cf0a46f1203300","4,580,000","No"
"0x7301941410d12738812c23b8dbabfdfb2e62e861","166,000","No"
"0x4ab29eafe3c0e7c4e6fd03d9f1fd6f93074c3722","101,000.5","No"
"0x93d83c2e1db6a5b25aa775f698d409681aec40ce","43,984","No"
"0x872bc37697f45526fc0c960e19654c8714db6957","37,979.770276528799872","No"
"0xf4ccf0cc09eea48e29a0d9b84f285bb2e601fefe","9,862.36099999999999646","No"
"0xe4641d0f9f18cc38200e6c31543f7e272ca27819","8,335","No"
"0x3f31f70db63f3cf6a11352687aac08ba5cd43500","2,195.3589","No"
"0x94eb08be475f9e8b1458c5fea1ee786c3b4799d9","2,160.582152","No"
"0xcfb936d2cc79d625eccd07468bc517c1115da011","1,900","No"
"0xe60e11293bb682225974f6c4fd721f5ed733120b","1,568.936450707709272","No"
"0xf0243e881bebb1968106150330d58e7c35bb7632","1,097.26","No"
"0xfed42aaff4eb16801c719597a7641b877e63830e","716.951108543490855646","No"
"0xcf5c2ef4efee56ff6a48a802896647bea735e7a5","576","No"
"0x8d217da4175e0510827aebbc3f389d12cf99ad6b","510","No"
"0x61d12450e1df6ea33919198722725f87b31b777e","495.302012941","No"
"0xf7638e5cb4ad5bc2f4419ba9a54d4cde28758e0b","472.835192941","No"
"0x80e48b59da3955c726f969e7d6b59e08eb54a56f","428.68","No"
"0xf7901908cb03b1cb4aa025c3a472314ff2245a55","394.796000003","No"
"0x8ad18beed1abf47e307fea5b79eebbca4eef2077","290.9308","No"
"0xc3ff3ade993a78f29938a91626e7eb80a0756fd6","284.941092941","No"
"0xeead0e5b98abca2edd031388f17a2fe7fa70b0d4","239.23456789","No"
"0x6125ad23dbbd98a4878370e203589afac50421d5","223.23456789","No"
"0x1c05a60cbc8796387e071e96831b238016d72025","209.922532941","No"
"0x4fa28c71554da02f8deb9b8c887a1a74491dc8a4","177.938873491","No"
"0x29efaf151b8f16715e01ef5a4b2b401dde03d7fb","164","No"
"0xd808a60098eefed7261d9ebb8eb59e8d0c69c83f","164","No"
"0x10db1e5b74e2e319f75e49d3f5d94feaaee11650","154","No"
"0xe3e95589b151417df44745705cfa04396867c8d1","130","No"
"0x9660638f21b8755646be7ec4a8e5467b0f6e7455","128.12119","No"
"0x817ccffe095dd6439da5442a8bbb92975133264f","119.09235","No"
"0x0017423e6f92046c1ff9294c09c011db43d0d8ac","114.091705882","No"
"0x96c00412e5870e79f5bd586f0f7e91047f497b28","110","No"
"0xc1f6138757cd4293b3fdc05d3847dc7787157c30","105.08","No"
"0xbe21bb95d3712983816422b1802daa9bd25109c0","100.9889","No"
"0xeed9781acb6981bd29b8fe7711e7b4b49588d6cd","100","No"
"0xe6c8930a1fb0fda1ad9ae9961dc5a8256f3112c2","100","No"
"0x0ede5204ff7a167d217ef20865db94e38fe1990c","100","No"
"0x34afb538e9825b6bc9bc1235e56f471ec9be0037","100","No"
"0x24fcf7c4f864f95661b72446afab2b6b788327f1","91.841252941","No"
"0x2046b8972ba5a6854d38334a7896dad20052f2ac","82.852352941","No"
"0xeaa7f18f4f22448098634b30663dcecae818e872","82.7078","No"
"0xcf10a936309abd68d4bd8c78a5d34eac14eb22e8","81","No"
"0x591ccb1918feaab0c50fc976363af11dfc472cd3","79.37889","No"
"0x3c861dee28dd907afd1ebcc4c5cf2beafe76c410","72.013952941","No"
"0xaeb5ac3e45a17112442525fb3d651f7c2a7ac830","64","No"
"0x94f495c1c72b3eee501d970c36fb1f639a353a3c","54.7789","No"
"0x0a595058c40ebdec58dcc40ed6fa5cace111bacc","53","No"
"0xbe9518b3c9608c79e673227df431bad2866977a7","48.99999","No"
"0x9fc06928c3e473da801c0bc6fde0febeef67ff5a","48.0349","No"
"0x7441120ab27bcd791a5acdaf01d29e4f880de9f3","47.06654","No"
"0xb77bb65804ed82b973ff5bc50338d83e6ff51120","46.88","No"
"0xc1fa5fc85296e1db073a26d7c86406d7690ed180","41.556852941","No"
"0xa20908f14403e1a00e35d04f3a7c7143036adc91","40","No"
"0xc7d62316e47ee6cd338bd53ffab1c3c849fa95c3","37.23456789","No"
"0xf227203b09baf4d4e8cb873b00d7a9dfd1321a43","35.52444","No"
"0x9018b6bf6e4ae7faa6f2cf84d995e8ca0cdbc203","34.6468686767","No"
"0x334e4c463f3b55539494bfccd17c8df6af4ccd79","33.882352941","No"
"0x71b09542c3ee3c75ed678f76e06151d577b938e1","31.204","No"
"0x48e1ab22314534ddc1aa8616b5af2c6e5be97a0e","30","No"
"0x41f4bf8e7e51aaf10e48124ebb63f5bf80e06f6e","30","No"
"0x98e9b0893ded2ca7f70a3fe6819eeff3f9cd36b8","28.5796","No"
"0xdf92c585e846770355804dde7ec4e1284b2eb3da","24.6789","No"
"0x50e7a3924fef3abf494110a6d75b8511a7bab87e","23.486752941","No"
"0x15d04583bf19cde9e5acd45c788f46f2cf5cccef","14.671342941","No"
"0xd2ee12f8e06c0ea5e0bc703893f0c00522406acc","13.748322941","No"
"0x0681d8db095565fe8a346fa0277bffde9c0edbbf","13","No"
"0x604333634ea045685787bb9b6b8ca217de4396b1","12.510752941","No"
"0x9a9c9799850e17c68592b6ab55d3a232137ce628","10","No"
"0xbf11baf37c591dba5745165fd848703c5f93a444","10","No"
"0x6d76b2d2bdf9c6a1fffd399987b4d0269b3bd673","10","No"
"0x1a624d86987136607ba763454e3fc4b8c61cae52","9.35889","No"
"0x472dd5aab848391f965717387678bbc018b6e44a","9","No"
"0x8ba25cbd0ef11fbcc0cdfaacd20dffcbf35077ec","8.666868","No"
"0x51d5af8688123f2c4d62f51505a0bcac06797732","6.23449","No"
"0xd9793bd1af8a96101d9169a6577dd243ca427f00","6","No"
"0xfde0e50ed16fa2b39668110513abff178dcfb131","6","No"
"0x06bdd98a7f4e2d3391192df31ccc8642769aaba9","5.204","No"
"0x3e475f3256736d042f2e6f319225f375882a44e2","5.1121313233","No"
"0xf6968c044eb545635676361be5f8bb7c0c8b117b","5","No"
"0x990874328b19a7f177dca87bfea38828fe581468","5","No"
"0xb0cf0b00550e699ae1a8de4c98d84e49452e7c84","5","No"
"0x4baf994f3b00be80b92809613827101e5ebeea64","3","No"
"0x2c4871972d66f3d321bc530a1b82c488101098ad","2","No"
"0x325e3c11f5e8d6088ccfff1b46816b67007ee637","1.23456","No"
"0x076a1ce89d48e7cfc7f47c1031ee6c83a36329ff","1","No"
"0x1cba0134332a3c514c187a8810022faafa21d1f1","1","No"
"0x38d6b560406905723d7660b2338ce29b3b907b33","0.000052941","No"
"0x0000000000000000000000000000000000000000","0.000000000000003894","No"
